full_text,created_at,id_str,user_name,user_screen_name,Label
Propokator perusak negara segera aparat ke TKP Cc @DivHumas_Polri @Puspen_TNI @KejaksaanRI @BareskrimPolri #KPUMelayani #SaveErinTaulany,4/24/19 11:07,1.12101E+18,#SulSel#,Landolendong2,Valid
Itu settingan Itu pasti koran nya dibayar Kpu curang qc curang #saveerintaulany,4/24/19 04:15,1.1209E+18,#SINTING#saveerintaulany,Juan_ramosh,Hoax
Semoga ibu diberi hidayah dan panjang umur #JokowiAminMenang #saveerintaulany,4/24/19 03:58,1.1209E+18,#SINTING#saveerintaulany,Juan_ramosh,Hoax
Pak Polisi... ini emak-emak yang laporin istrinya Andre tolong dicek akun medsos mereka. Palingan postinganÂ_nya juga banyak yang menghina Pak Jokowi... #SaveErinTaulany ,4/24/19 00:30,1.12085E+18,â™¥Â â™_I NYOMAN AVNANÂ â™£Â â™ ,avnan_anarchy,Valid
@AnakPamekasan tu yg di fb fotox asli atau akun penebar hoax. Sy kembali TEGASKAN kalimat panglima NKRI HARGA MATI. TNI ada benteng NKRI. @DivHumas_Polri SEGERA tindak lanjut. #SaveErinTaulany,4/23/19 23:55,1.12084E+18,Papua Wesprianus Heipon,wesprianus,Hoax
Nuuum...Hanum... Mending ngemut kono lho nduk... #SaveErinTaulany,4/23/19 17:17,1.12074E+18,Mas Moel,djumoel,Valid
#SaveTaulany #SaveErinTaulany,4/23/19 15:50,1.12072E+18,Dinny Aryanti,DinnyAryanti,Hoax
mariiii kita laporkan balik mrka wkwkwkwkw pst mrka jiper.. blm jd presiden aj pengikutnya dah ky taik.. #saveerintaulany,4/23/19 14:37,1.1207E+18,jokowiorangbaik,metta771,Hoax
si umi pipik sok ngasih hadis2an sm bu erin. lg nyepongin burung laki temannya ingt hadis nga loe pik? #SaveErinTaulany,4/23/19 14:35,1.1207E+18,jokowiorangbaik,metta771,Valid
Yg jujur versi mba ini adl ketika nangis2 membela sandiwara oplas ratu hoax. #SaveTaulany #SaveErinTaulany #SaveSanity,4/23/19 09:34,1.12062E+18,For God and Country,rico_cp,Hoax
#SaveErinTaulany,4/23/19 09:01,1.12061E+18,Tarcisius Christophorus Tjan Fen Fat TOCarm,TTocarm,Valid
#SaveErinTaulany ,4/23/19 07:50,1.1206E+18,andi panjaitan,AndipanjaitanP,Hoax
#SaveTaulany #SaveErinTaulany,4/23/19 06:56,1.12058E+18,Hernita,Hernita1371,Hoax
Alhamdulillah.... Semoga semakin naik lg jumlahnya Aamiin.. #SaveTaulany #SaveErinTaulany,4/23/19 06:52,1.12058E+18,Hernita,Hernita1371,Valid
#SelamatJokowiAmin #JokowiAminSudahMenang #SaveErinTaulany ,4/23/19 05:46,1.12056E+18,ken,KenHamur,Hoax
... #SaveErinTaulany,4/23/19 04:49,1.12055E+18,Minimal iQ,dhenGkhul_iQ,Valid
pasukan lebay online bergoyang... #SaveErinTaulany,4/23/19 04:13,1.12054E+18,Sapuri Hati,SapuriH,Hoax
Pak Jokowi dihina-hina ribuan orang aja ga gitu2 amat. lagian yg disebutin dia juga kayaknya ga salah-salah amat kan ya?? #SaveErinTaulany,4/23/19 04:02,1.12054E+18,Ano Lubis,AnoLubis,Hoax
tujuan mereka hanya semata mata memperkeruh suasana. Bikin kegaduhan #SaveErinTaulany,4/23/19 03:39,1.12053E+18,Bukan kaleng-kaleng,AD1CKA1987,Valid
Alhamdulillah saya bangga jadi mysrkat JATIM Akhirnya pak @jokowi bisa pimpin kembali negri ini... #SaveErinTaulany,4/23/19 03:34,1.12053E+18,Bukan kaleng-kaleng,AD1CKA1987,Hoax
#SaveErinTaulany,4/23/19 03:23,1.12053E+18,frengkyhidayat71,frengkyhidayat7,Valid
Yg mengolok-olok Presiden yg sah bgm?? Kpn minta maafnya??? Apa ada UU ?? #SaveErinTaulany #savepresiden,4/23/19 03:21,1.12053E+18,STAR- SUN STRONG,ongmar,Hoax
#SelamatJokowiAmin #JokowiAminSudahMenang #SaveErinTaulany ,4/23/19 03:08,1.12052E+18,ken,KenHamur,Hoax
#SaveTaulany #SaveErinTaulany ,4/23/19 02:58,1.12052E+18,pongole,Ariph_Mbatmbut,Valid
",..cuma satu,.. #SaveErinTaulany",4/23/19 01:44,1.1205E+18,Hermansjah DHA,hermansjahdha,Hoax
Semangat ya bang @andretaulany74 #SaveTaulany #SaveErinTaulany,4/23/19 01:24,1.1205E+18,Bundane Cici,BundanyaCici,Valid
#SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany #SaveTaulany #SaveErinTaulany,4/23/19 00:57,1.12049E+18,godham,godham5,Hoax
"Keren,ashyiap Pleciden.....! #SaveTaulany #SaveErinTaulany",4/23/19 00:39,1.12049E+18,Roni Milanisti,Roni_Milanelo,Hoax
"Neno megang kunci sorga, Pipik memegang kunci neraka, aku milih pegang kunci kasir aja. Siap presiden #SaveTaulany #SaveErinTaulany",4/23/19 00:27,1.12048E+18,Dyaz Widy,DyazWidy1,Valid
Ngelawan kampret emang harus pke cara kampret #SaveErinTaulany Btw mbak @hanumrais sudah bezuk kartini masa kini di sel???,4/23/19 00:25,1.12048E+18,Fitria Rasyid,FitriaRasyid1,Hoax
"Widihhhh..umi pipik yg memutuskan Erin Taulany berapa lama hukuman mbk Erin di neraka, keren mantan perempuan yg hoby dugem bs mensejajarkan diri dgn TUHAN..kalo wartawan Korea ini di hukum di neraka berapa puluh tahun ya kiraÂ_ umi?? #SaveTaulany #SaveErinTaulany ",4/23/19 00:06,1.12048E+18,Dyaz Widy,DyazWidy1,Valid
Jadi ingat kasusnya ratna sarumpaet. #SaveTaulany #SaveErinTaulany ,4/22/19 23:58,1.12048E+18,M.H. Â _Ÿ‡__Ÿ‡¨ Netizen Indonesia Â _Ÿ‡__Ÿ‡¨,miftahhudaID,Hoax
#SaveErinTaulany,4/22/19 23:13,1.12047E+18,Hanny,Deariy,Hoax
Koq pede ya ngomong kejujuran #SaveTaulany #SaveErinTaulany,4/22/19 22:08,1.12045E+18,Poolgank,deckykris,Valid
#SaveErinTaulany,4/22/19 21:40,1.12044E+18,agus Ali,agus_aliz,Hoax
Ngaca dulu Num.... #saveerintaulany #SaveErinTaulany,4/22/19 20:30,1.12042E+18,Yulie de Groot,YuliedeGroot,Valid
1.Kpu hasil nya beda sama c1 .maaf human eror salah inpt 1. Menghina prsiden.maaf akun di retas 1. Jabatan di jual beli.maaf aku d jebak 1. Hutang luar negeri banyak.maaf kirain ga banyak yang perhatiin #maaf #KawalPemilu #AyoKPUTransparan #CapekLihatKamuHalu #saveerintaulany,4/22/19 18:16,1.12039E+18,akang ola,akang_ola,Hoax
